2025-02-19 15:41:36,305 [INFO] Using device: mps
2025-02-19 15:41:36,305 [INFO] Loading tokenized train/valid sets from disk...
2025-02-19 15:41:36,319 [INFO] Train samples: 3668, Valid samples: 408
2025-02-19 15:41:36,735 [INFO] Measuring Time to First Training Step (TTFT)...
2025-02-19 15:41:37,465 [INFO] TTFT finished: 721.62 ms, initial loss=1.0227
2025-02-19 15:41:37,466 [INFO] 
===== Epoch 1/3 =====
2025-02-19 15:42:16,049 [INFO]   [Epoch 1, Batch 134] loss=0.5437, step_time=0.27s, tokens=1024
2025-02-19 15:42:16,328 [INFO]   [Epoch 1, Batch 135] loss=0.6038, step_time=0.28s, tokens=1024
2025-02-19 15:42:16,612 [INFO]   [Epoch 1, Batch 136] loss=0.6908, step_time=0.28s, tokens=1024
2025-02-19 15:42:16,891 [INFO]   [Epoch 1, Batch 137] loss=0.6972, step_time=0.27s, tokens=1024
2025-02-19 15:42:17,173 [INFO]   [Epoch 1, Batch 138] loss=0.3794, step_time=0.27s, tokens=1024
2025-02-19 15:42:17,454 [INFO]   [Epoch 1, Batch 139] loss=0.5079, step_time=0.28s, tokens=1024
2025-02-19 15:42:17,734 [INFO]   [Epoch 1, Batch 140] loss=0.4512, step_time=0.28s, tokens=1024
2025-02-19 15:42:18,012 [INFO]   [Epoch 1, Batch 141] loss=0.7298, step_time=0.27s, tokens=1024
2025-02-19 15:42:18,291 [INFO]   [Epoch 1, Batch 142] loss=0.2984, step_time=0.27s, tokens=1024
2025-02-19 15:42:18,571 [INFO]   [Epoch 1, Batch 143] loss=0.9381, step_time=0.28s, tokens=1024
2025-02-19 15:42:18,849 [INFO]   [Epoch 1, Batch 144] loss=0.5237, step_time=0.27s, tokens=1024
2025-02-19 15:42:19,130 [INFO]   [Epoch 1, Batch 145] loss=0.6364, step_time=0.27s, tokens=1024
2025-02-19 15:42:19,431 [INFO]   [Epoch 1, Batch 146] loss=0.5111, step_time=0.29s, tokens=1024
2025-02-19 15:42:19,724 [INFO]   [Epoch 1, Batch 147] loss=0.5084, step_time=0.28s, tokens=1024
2025-02-19 15:42:20,016 [INFO]   [Epoch 1, Batch 148] loss=0.4587, step_time=0.29s, tokens=1024
2025-02-19 15:42:20,354 [INFO]   [Epoch 1, Batch 149] loss=0.4918, step_time=0.33s, tokens=1024
2025-02-19 15:42:20,695 [INFO]   [Epoch 1, Batch 150] loss=0.4987, step_time=0.34s, tokens=1024
2025-02-19 15:42:21,019 [INFO]   [Epoch 1, Batch 151] loss=0.4955, step_time=0.32s, tokens=1024
